# Pipeline output for part538.mp4
# toast_templates=templates/toast_templates  min_score=0.55
# timer_model=timer_model.pth  timer_layout=configs/timer_layout_from_anchor.json
# fps=60.0  total_frames=2185933  duration=36432s
# coarse_step=30s  fine_pad=15s
# 26 coarse hits -> 26 regions -> 308 events

timestamp           frame   timer_text timer_conf template_name                  template_score
-----------------------------------------------------------------------------------------------
00:20:29.000        73740                  0.4935 we_need_to_go                          0.9866
00:20:30.000        73800                  0.4931 we_need_to_go                          0.9835
00:20:31.000        73860                  0.4929 we_need_to_go                          0.9856
00:20:32.000        73920                  0.4919 we_need_to_go                          0.9853
00:20:34.000        74040                  0.4644 we_need_to_go                          0.9885
00:20:35.000        74100                  0.4384 we_need_to_go                          0.9883
00:30:16.000       108960                  0.4327 we_need_to_go                          0.9819
00:30:17.000       109020                  0.4969 we_need_to_go                          0.9874
00:30:18.000       109080                  0.4928 we_need_to_go                          0.9816
00:30:21.000       109260                  0.4916 we_need_to_go                          0.9838
00:30:22.000       109320    11:11.111     0.8183 we_need_to_go                          0.9826
00:30:24.000       109440                  0.4928 we_need_to_go                          0.9801
00:30:25.000       109500                  0.4970 we_need_to_go                          0.9850
00:30:26.000       109560                  0.4953 we_need_to_go                          0.9823
00:30:27.000       109620                  0.4946 we_need_to_go                          0.9817
00:30:28.000       109680                  0.4894 we_need_to_go                          0.9827
00:30:29.000       109740    11:11.111     0.8050 we_need_to_go                          0.9826
00:30:30.000       109800                  0.4917 we_need_to_go                          0.9782
00:30:31.000       109860                  0.4603 we_need_to_go                          0.9863
00:36:27.000       131220                  0.4328 we_need_to_go                          0.9826
00:36:28.000       131280                  0.4351 we_need_to_go                          0.9827
00:36:30.000       131400                  0.4347 we_need_to_go                          0.9889
00:36:31.000       131460                  0.4836 we_need_to_go                          0.9871
00:36:32.000       131520                  0.4927 we_need_to_go                          0.9839
00:36:34.000       131640                  0.4958 we_need_to_go                          0.9839
00:36:35.000       131700                  0.4910 we_need_to_go                          0.9814
00:36:36.000       131760                  0.4701 we_need_to_go                          0.9907
00:36:37.000       131820                  0.4409 we_need_to_go                          0.9845
00:36:38.000       131880                  0.4586 we_need_to_go                          0.9649
00:36:39.000       131940                  0.4317 we_need_to_go                          0.9497
00:36:40.000       132000                  0.3609 we_need_to_go                          0.9856
00:44:00.000       158400                  0.4633 we_need_to_go                          0.9819
00:44:01.000       158460                  0.4368 we_need_to_go                          0.9871
00:44:02.000       158520                  0.4406 we_need_to_go                          0.9884
00:44:03.000       158580                  0.4941 we_need_to_go                          0.9840
00:44:06.000       158760                  0.4869 we_need_to_go                          0.9919
00:44:07.000       158820                  0.4998 we_need_to_go                          0.9799
00:44:09.000       158940                  0.4926 we_need_to_go                          0.9913
00:44:10.000       159000                  0.4919 we_need_to_go                          0.9899
00:44:11.000       159060    11:11.111     0.8031 we_need_to_go                          0.9902
00:44:13.000       159180                  0.4897 we_need_to_go                          0.9910
00:44:14.000       159240                  0.4938 we_need_to_go                          0.9866
01:13:52.000       265920                  0.4649 we_need_to_go                          0.9365
01:13:53.000       265980                  0.4332 we_need_to_go                          0.9382
01:13:56.000       266160                  0.4848 we_need_to_go                          0.9896
01:13:57.000       266220    11:11.111     0.7584 we_need_to_go                          0.9031
01:13:59.000       266340                  0.4870 we_need_to_go                          0.9891
01:14:00.000       266400                  0.4938 we_need_to_go                          0.9891
01:14:03.000       266580                  0.4973 we_need_to_go                          0.9920
01:14:04.000       266640                  0.4951 we_need_to_go                          0.9886
01:14:05.000       266700    11:11.111     0.8311 we_need_to_go                          0.8285
01:14:08.000       266880                  0.4919 we_need_to_go                          0.9892
01:14:09.000       266940                  0.4999 we_need_to_go                          0.9767
01:14:10.000       267000                  0.4930 we_need_to_go                          0.9860
01:14:11.000       267060                  0.4926 we_need_to_go                          0.9773
01:14:13.000       267180                  0.4663 we_need_to_go                          0.9844
01:14:14.000       267240                  0.4592 we_need_to_go                          0.9907
01:28:29.000       318540                  0.4521 we_need_to_go                          0.9268
01:28:30.000       318600                  0.4340 we_need_to_go                          0.9545
01:28:33.000       318780    11:11.111     0.8115 we_need_to_go                          0.9904
01:28:34.000       318840                  0.4922 we_need_to_go                          0.9940
01:28:37.000       319020                  0.4905 we_need_to_go                          0.9931
01:28:38.000       319080                  0.4992 we_need_to_go                          0.9896
01:28:39.000       319140                  0.4907 we_need_to_go                          0.9938
01:28:40.000       319200                  0.4957 we_need_to_go                          0.9871
01:28:41.000       319260                  0.4996 we_need_to_go                          0.9891
01:28:42.000       319320                  0.4938 we_need_to_go                          0.9943
01:28:43.000       319380                  0.4688 we_need_to_go                          0.9978
01:28:44.000       319440                  0.4604 we_need_to_go                          0.9973
01:28:45.000       319500                  0.4600 we_need_to_go                          0.9721
01:52:49.000       406140                  0.4361 we_need_to_go                          0.9412
01:52:50.000       406200                  0.4362 we_need_to_go                          0.9419
01:52:53.000       406380                  0.4930 we_need_to_go                          0.9894
01:52:54.000       406440                  0.4944 we_need_to_go                          0.9891
01:52:55.000       406500    11:11.111     0.8141 we_need_to_go                          0.9893
01:52:57.000       406620                  0.4940 we_need_to_go                          0.9853
01:52:59.000       406740                  0.4839 we_need_to_go                          0.9755
01:53:00.000       406800                  0.4953 we_need_to_go                          0.9834
01:53:01.000       406860                  0.4896 we_need_to_go                          0.8915
01:53:03.000       406980                  0.4961 we_need_to_go                          0.9891
01:53:04.000       407040                  0.4960 we_need_to_go                          0.9856
01:53:07.000       407220                  0.4900 we_need_to_go                          0.9874
01:53:08.000       407280                  0.4937 we_need_to_go                          0.9819
01:53:09.000       407340    11:11.111     0.8114 we_need_to_go                          0.9510
01:53:10.000       407400                  0.4886 we_need_to_go                          0.9843
01:53:11.000       407460                  0.4902 we_need_to_go                          0.9850
01:53:12.000       407520                  0.4959 we_need_to_go                          0.9811
01:53:14.000       407640                  0.4875 we_need_to_go                          0.9870
01:53:15.000       407700                  0.4858 we_need_to_go                          0.9882
02:15:25.000       487500                  0.4382 we_need_to_go                          0.9267
02:15:27.000       487620                  0.4357 we_need_to_go                          0.9893
02:15:28.000       487680                  0.4959 we_need_to_go                          0.9857
02:15:30.000       487800                  0.4935 we_need_to_go                          0.9842
02:15:31.000       487860                  0.4933 we_need_to_go                          0.9831
02:15:34.000       488040                  0.4925 we_need_to_go                          0.9840
02:15:35.000       488100    11:11.111     0.8190 we_need_to_go                          0.9839
02:15:36.000       488160                  0.4917 we_need_to_go                          0.9861
02:15:38.000       488280                  0.4933 we_need_to_go                          0.9860
02:15:39.000       488340                  0.4917 we_need_to_go                          0.9882
02:15:41.000       488460                  0.4895 we_need_to_go                          0.9927
02:15:42.000       488520                  0.4679 we_need_to_go                          0.9952
02:15:43.000       488580                  0.4723 we_need_to_go                          0.9960
02:15:44.000       488640                  0.4952 we_need_to_go                          0.9907
02:15:45.000       488700                  0.4957 we_need_to_go                          0.9908
02:45:15.000       594900                  0.4956 we_need_to_go                          0.9854
02:45:17.000       595020    15:55.115     0.8060 we_need_to_go                          0.9873
02:45:18.000       595080    11:11.111     0.8050 we_need_to_go                          0.9901
02:45:21.000       595260                  0.4934 we_need_to_go                          0.9895
02:45:24.000       595440                  0.4935 we_need_to_go                          0.9860
02:45:25.000       595500                  0.4884 we_need_to_go                          0.9858
02:45:27.000       595620                  0.4932 we_need_to_go                          0.9808
02:45:28.000       595680                  0.4915 we_need_to_go                          0.9822
02:45:30.000       595800                  0.4935 we_need_to_go                          0.9859
02:45:31.000       595860                  0.4604 we_need_to_go                          0.9866
03:36:54.000       780840                  0.3772 we_need_to_go                          0.9228
03:36:55.000       780900                  0.4368 we_need_to_go                          0.9475
03:36:56.000       780960                  0.4358 we_need_to_go                          0.9840
03:36:57.000       781020                  0.4922 we_need_to_go                          0.9882
03:36:58.000       781080                  0.4368 we_need_to_go                          0.9916
03:36:59.000       781140                  0.4357 we_need_to_go                          0.9920
03:37:00.000       781200                  0.4602 we_need_to_go                          0.9919
03:37:01.000       781260                  0.4629 we_need_to_go                          0.9919
03:37:02.000       781320                  0.4616 we_need_to_go                          0.9924
03:37:03.000       781380                  0.4622 we_need_to_go                          0.9908
03:46:19.000       814740                  0.4367 we_need_to_go                          0.9516
03:46:20.000       814800                  0.4347 we_need_to_go                          0.9587
03:46:21.000       814860                  0.4359 we_need_to_go                          0.9820
03:46:22.000       814920                  0.4938 we_need_to_go                          0.9855
03:46:28.000       815280                  0.4977 we_need_to_go                          0.9826
03:46:29.000       815340                  0.4922 we_need_to_go                          0.9779
03:46:30.000       815400                  0.4964 we_need_to_go                          0.9839
03:46:33.000       815580                  0.4961 we_need_to_go                          0.9809
