run,run_start_timestamp,run_start_frame,run_end_timestamp,run_end_frame,toast_index,toast_timestamp,toast_frame,timer_text,timer_conf,toast_conf,template_name,timer_source
1,00:00:02.000,120,00:00:21.983,1319,,,,,,,,
2,00:00:22.000,1320,00:00:51.983,3119,,,,,,,,
3,00:00:52.000,3120,00:01:13.983,4439,,,,,,,,
4,00:01:14.000,4440,00:03:41.983,13319,,,,,,,,
5,00:03:42.000,13320,00:04:03.983,14639,,,,,,,,
6,00:04:04.000,14640,00:08:53.983,32039,1,00:06:53.800,24828,02:46.998,0.6527,0.9769,toast1,anchor_refresh
7,00:08:54.000,32040,00:09:49.983,35399,,,,,,,,
8,00:09:50.000,35400,00:10:37.983,38279,,,,,,,,
9,00:10:38.000,38280,00:10:57.983,39479,,,,,,,,
10,00:10:58.000,39480,00:11:31.983,41519,,,,,,,,
11,00:11:32.000,41520,00:11:51.983,42719,,,,,,,,
12,00:11:52.000,42720,00:12:27.983,44879,,,,,,,,
13,00:12:28.000,44880,00:12:57.983,46679,,,,,,,,
14,00:12:58.000,46680,00:13:19.983,47999,,,,,,,,
15,00:13:20.000,48000,00:13:39.983,49199,,,,,,,,
16,00:13:40.000,49200,00:14:17.983,51479,,,,,,,,
17,00:14:18.000,51480,00:14:49.983,53399,,,,,,,,
18,00:14:50.000,53400,00:15:09.983,54599,,,,,,,,
19,00:15:10.000,54600,00:16:07.983,58079,,,,,,,,
20,00:16:08.000,58080,00:16:29.983,59399,,,,,,,,
21,00:16:30.000,59400,00:16:49.983,60599,,,,,,,,
22,00:16:50.000,60600,00:17:23.983,62639,,,,,,,,
23,00:17:24.000,62640,00:17:49.983,64199,,,,,,,,
24,00:17:50.000,64200,00:18:31.983,66719,,,,,,,,
25,00:18:32.000,66720,00:20:03.983,72239,,,,,,,,
26,00:20:04.000,72240,00:21:01.983,75719,,,,,,,,
27,00:21:02.000,75720,00:22:01.983,79319,,,,,,,,
28,00:22:02.000,79320,00:22:27.983,80879,,,,,,,,
29,00:22:28.000,80880,00:22:49.983,82199,,,,,,,,
30,00:22:50.000,82200,00:23:09.983,83399,,,,,,,,
31,00:23:10.000,83400,00:28:37.983,103079,1,00:27:55.433,100526,03:15.845,0.6861,0.9776,toast1,anchor_refresh
32,00:28:38.000,103080,00:29:57.983,107879,,,,,,,,
33,00:29:58.000,107880,00:30:27.983,109679,,,,,,,,
34,00:30:28.000,109680,00:30:59.983,111599,,,,,,,,
35,00:31:00.000,111600,00:31:23.983,113039,,,,,,,,
36,00:31:24.000,113040,00:31:51.983,114719,,,,,,,,
37,00:31:52.000,114720,00:32:13.983,116039,,,,,,,,
38,00:32:14.000,116040,00:32:43.983,117839,,,,,,,,
39,00:32:44.000,117840,00:33:05.983,119159,,,,,,,,
40,00:33:06.000,119160,00:33:27.983,120479,,,,,,,,
41,00:33:28.000,120480,00:39:07.983,140879,1,00:36:47.450,132447,03:02.303,0.6292,0.9770,toast1,anchor_refresh
42,00:39:08.000,140880,00:39:35.983,142559,,,,,,,,
43,00:39:36.000,142560,00:40:07.983,144479,,,,,,,,
44,00:40:08.000,144480,00:40:45.983,146759,,,,,,,,
45,00:40:46.000,146760,00:41:25.983,149159,,,,,,,,
46,00:41:26.000,149160,00:41:59.983,151199,,,,,,,,
47,00:42:00.000,151200,00:42:39.983,153599,,,,,,,,
48,00:42:40.000,153600,00:43:21.983,156119,,,,,,,,
49,00:43:22.000,156120,00:44:31.983,160319,,,,,,,,
50,00:44:32.000,160320,00:45:09.983,162599,,,,,,,,
51,00:45:10.000,162600,00:54:05.983,194759,1,00:49:32.483,178349,04:20.766,0.7583,0.9757,toast1,anchor_refresh
51,00:45:10.000,162600,00:54:05.983,194759,2,00:51:04.333,183860,05:44.758,0.6693,0.9824,toast2,anchor_refresh
52,00:54:06.000,194760,00:54:59.983,197999,,,,,,,,
53,00:55:00.000,198000,00:56:23.983,203039,,,,,,,,
54,00:56:24.000,203040,00:57:01.983,205319,,,,,,,,
55,00:57:02.000,205320,00:57:41.983,207719,,,,,,,,
56,00:57:42.000,207720,00:58:09.983,209399,,,,,,,,
57,00:58:10.000,209400,00:58:31.983,210719,,,,,,,,
58,00:58:32.000,210720,00:58:55.983,212159,,,,,,,,
59,00:58:56.000,212160,00:59:15.983,213359,,,,,,,,
60,00:59:16.000,213360,00:59:37.983,214679,,,,,,,,
61,00:59:38.000,214680,00:59:59.983,215999,,,,,,,,
62,01:00:00.000,216000,01:04:19.983,231599,1,01:03:49.450,229767,03:48.560,0.6333,0.9777,toast1,anchor_refresh
63,01:04:20.000,231600,01:04:57.983,233879,,,,,,,,
64,01:04:58.000,233880,01:06:01.983,237719,,,,,,,,
65,01:06:02.000,237720,01:06:49.983,240599,,,,,,,,
66,01:06:50.000,240600,01:10:17.983,253079,1,01:09:25.383,249923,02:30.625,0.6465,0.9775,toast1,anchor_refresh
67,01:10:18.000,253080,01:19:57.983,287879,1,01:18:43.983,283439,03:22.727,0.6012,0.9626,toast1,anchor_refresh
68,01:19:58.000,287880,01:20:23.983,289439,,,,,,,,
69,01:20:24.000,289440,01:20:53.983,291239,,,,,,,,
70,01:20:54.000,291240,01:21:19.983,292799,,,,,,,,
71,01:21:20.000,292800,01:21:41.983,294119,,,,,,,,
72,01:21:42.000,294120,01:22:23.983,296639,,,,,,,,
73,01:22:24.000,296640,01:22:53.983,298439,,,,,,,,
74,01:22:54.000,298440,01:23:23.983,300239,,,,,,,,
75,01:23:24.000,300240,01:23:47.983,301679,,,,,,,,
76,01:23:48.000,301680,01:27:01.983,313319,,,,,,,,
77,01:27:02.000,313320,01:32:13.983,332039,1,01:30:09.117,324547,02:50.916,0.6986,0.9771,toast1,anchor_refresh
78,01:32:14.000,332040,01:32:37.983,333479,,,,,,,,
79,01:32:38.000,333480,01:32:57.983,334679,,,,,,,,
80,01:32:58.000,334680,01:33:17.983,335879,,,,,,,,
81,01:33:18.000,335880,01:33:53.983,338039,,,,,,,,
82,01:33:54.000,338040,01:34:37.983,340679,,,,,,,,
83,01:34:38.000,340680,01:35:13.983,342839,,,,,,,,
84,01:35:14.000,342840,01:36:23.983,347039,,,,,,,,
85,01:36:24.000,347040,01:36:53.983,348839,,,,,,,,
86,01:36:54.000,348840,01:37:39.983,351599,,,,,,,,
87,01:37:40.000,351600,01:38:15.983,353759,,,,,,,,
88,01:38:16.000,353760,01:38:55.983,356159,,,,,,,,
89,01:38:56.000,356160,01:39:23.983,357839,,,,,,,,
90,01:39:24.000,357840,01:39:55.983,359759,,,,,,,,
91,01:39:56.000,359760,01:40:21.983,361319,,,,,,,,
92,01:40:22.000,361320,01:40:45.983,362759,,,,,,,,
93,01:40:46.000,362760,01:41:53.983,366839,,,,,,,,
94,01:41:54.000,366840,01:45:27.983,379679,,,,,,,,
95,01:45:28.000,379680,01:50:59.983,399599,1,01:49:50.150,395409,04:06.353,0.6538,0.9776,toast1,anchor_refresh
96,01:51:00.000,399600,01:51:23.983,401039,,,,,,,,
97,01:51:24.000,401040,01:51:59.983,403199,,,,,,,,
98,01:52:00.000,403200,01:52:33.983,405239,,,,,,,,
99,01:52:34.000,405240,01:52:57.983,406679,,,,,,,,
100,01:52:58.000,406680,01:53:27.983,408479,,,,,,,,
101,01:53:28.000,408480,01:54:03.983,410639,,,,,,,,
102,01:54:04.000,410640,01:57:31.983,423119,1,01:57:05.617,421537,03:00.223,0.6685,0.9777,toast1,anchor_refresh
103,01:57:32.000,423120,02:00:57.983,435479,,,,,,,,
104,02:00:58.000,435480,02:01:25.983,437159,,,,,,,,
105,02:01:26.000,437160,02:01:49.983,438599,,,,,,,,
106,02:01:50.000,438600,02:02:33.983,441239,,,,,,,,
107,02:02:34.000,441240,02:03:03.983,443039,,,,,,,,
108,02:03:04.000,443040,02:03:39.983,445199,,,,,,,,
109,02:03:40.000,445200,02:04:27.983,448079,,,,,,,,
110,02:04:28.000,448080,02:05:07.983,450479,,,,,,,,
111,02:05:08.000,450480,02:06:05.983,453959,,,,,,,,
112,02:06:06.000,453960,02:06:45.983,456359,,,,,,,,
113,02:06:46.000,456360,02:09:41.983,466919,,,,,,,,
114,02:09:42.000,466920,02:10:17.983,469079,,,,,,,,
115,02:10:18.000,469080,02:10:37.983,470279,,,,,,,,
116,02:10:38.000,470280,02:11:17.983,472679,,,,,,,,
117,02:11:18.000,472680,02:11:55.983,474959,,,,,,,,
118,02:11:56.000,474960,02:12:21.983,476519,,,,,,,,
119,02:12:22.000,476520,02:12:41.983,477719,,,,,,,,
120,02:12:42.000,477720,02:13:45.983,481559,,,,,,,,
121,02:13:46.000,481560,02:14:09.983,482999,,,,,,,,
122,02:14:10.000,483000,02:14:43.983,485039,,,,,,,,
123,02:14:44.000,485040,02:15:59.983,489599,,,,,,,,
124,02:16:00.000,489600,02:16:19.983,490799,,,,,,,,
125,02:16:20.000,490800,02:17:09.983,493799,,,,,,,,
126,02:17:10.000,493800,02:17:49.983,496199,,,,,,,,
127,02:17:50.000,496200,02:18:15.983,497759,,,,,,,,
128,02:18:16.000,497760,02:18:35.983,498959,,,,,,,,
129,02:18:36.000,498960,02:19:11.983,501119,,,,,,,,
